id,name,lat,lon,state,trend_per_decade,p_value,r_squared,n_points,std_error,start_year,mean_bias,bias_std,first_year,last_year,n_years
USH00486195,Unknown,43.41310119628906,-106.2771987915039,Unknown,0.03280102022528348,0.012275615151174729,0.06291175946395795,99,0.012853630558174671,1895,-0.72136706,0.38993725,1922,2024,99
USH00134142,Unknown,42.51890182495117,-93.25360107421875,Unknown,-0.03213032332770941,1.0891440864988257e-13,0.3513553568601782,130,0.003858693107518362,1895,0.4630418,0.20624183,1895,2025,130
USH00264950,Unknown,39.41360092163086,-114.77330017089844,Unknown,0.050432742857129266,5.3414196561968254e-05,0.13966317050878424,111,0.011989267455450928,1895,-0.9394192,0.43626,1912,2025,111
USH00475017,Unknown,44.08689880371094,-87.6521987915039,Unknown,0.04482602086870491,6.180006725730629e-14,0.3547834835293507,131,0.005322386085533323,1895,-0.4425946,0.2856804,1895,2025,131
USH00106388,Unknown,44.964698791503906,-116.2863998413086,Unknown,0.0877605703939951,7.649962781765681e-13,0.3770973941833306,111,0.010803624882312216,1895,-1.182589,0.47505385,1903,2024,111
USH00301401,Unknown,44.87860107421875,-73.39530181884766,Unknown,0.07989434941271847,1.4833389872944902e-10,0.3248115180764813,107,0.011241343454885679,1895,0.33881894,0.44006228,1903,2010,107
USH00450945,Unknown,47.16939926147461,-122.00360107421875,Unknown,0.026878997884677902,0.0003204627074657486,0.125545076123326,99,0.007202712459005412,1895,-0.5552395,0.21789145,1913,2011,99
USH00417079,Unknown,34.18920135498047,-101.70220184326172,Unknown,0.017565933807766186,0.04453928707900354,0.03164716519856752,128,0.00865636133340922,1895,-0.40537465,0.37124607,1895,2025,128
USH00312635,Unknown,36.01639938354492,-76.55169677734375,Unknown,-0.002971965686516642,0.7468039886879697,0.0008171987186668883,130,0.009185386656777915,1895,-0.41180447,0.39164868,1896,2025,130
USH00454748,Unknown,46.36750030517578,-124.03780364990234,Unknown,0.0866990042322453,1.0830164554367583e-30,0.6733587224345747,121,0.0055354497985261025,1895,-0.5567103,0.37280363,1895,2018,121
USH00110072,Unknown,41.19609832763672,-90.747802734375,Unknown,0.035321341072011986,6.376234720219238e-10,0.2697654093296364,124,0.005261327535859552,1895,0.02932712,0.2472004,1901,2025,124
USH00437612,Unknown,44.0724983215332,-72.97360229492188,Unknown,0.07721807747181188,7.065983597727087e-15,0.38764230312149206,126,0.008715557048054842,1895,-0.7983933,0.47564977,1895,2025,126
USH00463544,Unknown,38.93389892578125,-80.8324966430664,Unknown,-0.02939930055658184,8.112887054760762e-05,0.11553745884748456,129,0.007217943100823776,1895,0.11711704,0.32675868,1895,2024,129
USH00049452,Unknown,35.59749984741211,-119.35310363769531,Unknown,-0.09102316408839198,2.976402055224408e-08,0.2250344569485726,123,0.015355923101427839,1895,0.47644362,0.6873413,1899,2025,123
USH00243558,Unknown,48.21390151977539,-106.62139892578125,Unknown,-0.04752581269865019,1.0392723608249232e-07,0.21084584795659006,122,0.008393388498038341,1895,0.64716995,0.36898708,1901,2025,122
USH00300937,Unknown,43.20000076293945,-77.93329620361328,Unknown,0.01226650213681863,0.11205385341263574,0.026643407375843604,96,0.007647120203256008,1895,-0.26150835,0.2577497,1900,2025,96
USH00079605,Unknown,39.77389907836914,-75.54139709472656,Unknown,0.055129110392484276,8.035097615567827e-07,0.19775094846268382,113,0.010539373938114412,1895,-0.26038402,0.41345286,1895,2024,113
USH00165026,Unknown,30.204999923706055,-91.98750305175781,Unknown,-0.05091723223034225,6.163420555771537e-24,0.5470420723656588,131,0.004079326824325372,1895,0.67215824,0.26132828,1895,2025,131
USH00394516,Unknown,43.90719985961914,-99.86280059814453,Unknown,-0.06289460199350258,2.4233358755488067e-23,0.5429878002737168,129,0.005120122756356725,1895,0.14421962,0.32178473,1895,2025,129
USH00235834,Unknown,37.152801513671875,-92.26360321044922,Unknown,0.07461090968403723,7.312719837495302e-23,0.5494385614138868,124,0.006117019450830199,1895,-0.3302572,0.36175787,1901,2024,124
USH00046719,Unknown,34.14830017089844,-118.14469909667969,Unknown,0.011716319850787117,0.08281337408010309,0.02616049785727485,116,0.006695137253614719,1895,0.61371005,0.24361247,1909,2024,116
USH00387722,Unknown,34.6349983215332,-81.52059936523438,Unknown,-0.017711875724179364,0.004368177463717273,0.06172880642515355,130,0.006103512286713641,1895,-0.17597935,0.26855752,1895,2024,130
USH00426135,Unknown,39.71220016479492,-111.83190155029297,Unknown,0.07261295625110255,1.6828482808890423e-16,0.4390455148576509,120,0.0075558295913646534,1895,-0.016658261,0.38889417,1902,2024,120
USH00428973,Unknown,40.35969924926758,-111.89720153808594,Unknown,0.005479214951810165,0.6829579254712153,0.0016421283087390932,104,0.013376972421540697,1895,0.614982,0.4423019,1905,2025,104
USH00341243,Unknown,36.80030059814453,-99.64029693603516,Unknown,-0.08116932652893734,0.0004563762230314106,0.11953670890799588,99,0.022367170846541537,1895,-0.02416657,0.67855954,1907,2010,99
USH00422592,Unknown,37.76860046386719,-111.5978012084961,Unknown,-0.0432258878529928,0.0002482704069715219,0.11248370812247974,115,0.01142215515640881,1895,0.118538216,0.44857892,1902,2024,115
USH00248857,Unknown,44.650001525878906,-111.0999984741211,Unknown,-0.1612582797154388,2.6375045042623325e-16,0.5982210420096185,76,0.015362748263075147,1895,0.17929208,0.4918996,1905,1995,76
USH00459376,Unknown,48.45389938354492,-120.193603515625,Unknown,0.003935351382954163,0.519293075665888,0.003717667367063386,114,0.006087380581008568,1895,-0.16042657,0.21464644,1906,2024,114
