id,name,lat,lon,state,trend_per_decade,p_value,r_squared,n_points,std_error,start_year,mean_bias,bias_std,first_year,last_year,n_years
USH00125237,Unknown,38.736900329589844,-85.39420318603516,Unknown,0.04604579480351795,1.206851091314079e-05,0.15781681992945829,114,0.010050961287513257,1895,-0.21769145,0.39175642,1895,2010,114
USH00413992,Unknown,33.157798767089844,-99.74559783935547,Unknown,-0.22168723925156883,6.832571877220809e-36,0.7151813407403383,127,0.012513010811905052,1895,1.2413869,0.9785135,1895,2025,127
USH00366689,Unknown,40.79999923706055,-75.61669921875,Unknown,0.00214449215530615,0.919101534887691,0.0001384511577715743,77,0.021043378556879412,1895,-1.9681581,0.41877812,1918,1997,77
USH00488995,Unknown,42.080299377441406,-104.22360229492188,Unknown,0.06409741146249531,7.861862395243415e-06,0.21968099915592088,83,0.013422636377281996,1895,-0.37926432,0.32963425,1922,2004,83
USH00250622,Unknown,40.299400329589844,-96.75,Unknown,-0.01715903325682787,0.04355962616512292,0.03525309924755746,116,0.008407142999369642,1895,-0.13324758,0.31019494,1895,2011,116
USH00018024,Unknown,33.41640090942383,-86.13500213623047,Unknown,0.06264112424638346,7.406521396163052e-10,0.2606938063851976,128,0.009397689388952106,1895,-0.5408386,0.45509642,1898,2025,128
USH00226177,Unknown,31.588899612426758,-91.3407974243164,Unknown,0.07397766593589,4.7032984594883056e-07,0.1830933075709217,128,0.013920836865148327,1895,-1.005441,0.64247286,1895,2024,128
USH00144559,Unknown,38.95830154418945,-95.25140380859375,Unknown,-0.014713405857899153,0.09173980549289952,0.022945156212495075,125,0.008657143587096319,1895,0.5564724,0.35988644,1895,2025,125
USH00262573,Unknown,40.82889938354492,-115.7885971069336,Unknown,-0.08688680348524358,4.1912394761191576e-08,0.2160184646139149,126,0.014864505194259131,1895,0.91274995,0.6917719,1895,2025,126
USH00326947,Unknown,48.971099853515625,-97.24169921875,Unknown,-0.041769887986731244,6.352698843731117e-06,0.15210685147810754,126,0.00885622502000106,1895,0.3290742,0.39491045,1899,2025,126
USH00215175,Unknown,47.63079833984375,-93.6521987915039,Unknown,-0.02263807310282122,0.00040639088816386544,0.11588699056707484,104,0.00619121548975003,1895,0.092902936,0.20626256,1897,2005,104
USH00013160,Unknown,32.83470153808594,-88.13420104980469,Unknown,-0.003619342174323986,0.6925034398990564,0.0012258154660088718,130,0.009131576560442315,1895,0.22758918,0.38997376,1895,2025,130
USH00241044,Unknown,45.662200927734375,-111.04530334472656,Unknown,0.053951852919803825,3.7411449862669714e-07,0.18333144099944815,130,0.01006481558429103,1895,-0.6307278,0.47534198,1895,2025,130
USH00142835,Unknown,37.84280014038086,-94.70860290527344,Unknown,-0.054172030216137465,7.307146445916071e-08,0.21219891117809223,124,0.009450002197076306,1895,-0.8625417,0.42589676,1896,2024,124
