year,max_stations,min_stations,avg_stations,max_completeness,min_completeness,avg_completeness,total_records
1865,7,7,6,0.20416666666666666,0.08333333333333333,0.07083333333333333,240
1866,7,8,6,0.3333333333333333,0.18253968253968253,0.12698412698412698,252
1867,7,8,6,0.3055555555555556,0.1984126984126984,0.10317460317460317,252
1868,8,9,7,0.3020833333333333,0.16319444444444445,0.12152777777777778,288
1869,17,18,17,0.3108974358974359,0.29967948717948717,0.28685897435897434,624
1870,16,17,16,0.32653061224489793,0.32653061224489793,0.30612244897959184,588
1871,24,26,24,0.30067567567567566,0.30743243243243246,0.28716216216216217,888
1872,39,41,38,0.2549435028248588,0.2528248587570621,0.2401129943502825,1416
1873,54,52,50,0.28556263269639065,0.2770700636942675,0.2648619957537155,1884
1874,61,56,54,0.3493217054263566,0.312984496124031,0.3013565891472868,2064
1875,61,57,55,0.3420038535645472,0.3111753371868979,0.29624277456647397,2076
1876,61,57,55,0.3471153846153846,0.3144230769230769,0.30096153846153845,2080
1877,64,58,56,0.34543761638733705,0.3054003724394786,0.2942271880819367,2148
1878,65,59,57,0.33882783882783885,0.30128205128205127,0.2902930402930403,2184
1879,68,63,61,0.3220486111111111,0.2881944444444444,0.2777777777777778,2304
1880,63,59,57,0.3207635009310987,0.2881750465549348,0.27607076350093107,2148
1881,63,59,57,0.3165735567970205,0.2988826815642458,0.28677839851024206,2148
1882,56,52,50,0.3275316455696203,0.3022151898734177,0.28955696202531644,1896
1883,64,54,52,0.346078431372549,0.31029411764705883,0.29901960784313725,2040
1884,89,79,75,0.2707482993197279,0.23605442176870747,0.2261904761904762,2940
1885,101,93,90,0.3095657276995305,0.28374413145539906,0.2749413145539906,3408
1886,118,117,108,0.2921511627906977,0.2865794573643411,0.26380813953488375,4128
1887,147,141,128,0.2943645083932854,0.2789768185451639,0.25499600319744203,5004
1888,160,170,147,0.29602510460251047,0.2955020920502092,0.2627266387726639,5736
1889,190,186,161,0.30565862708719854,0.2915893630179344,0.25510204081632654,6468
1890,237,232,210,0.278921568627451,0.26666666666666666,0.24129901960784314,8160
1891,325,324,286,0.25105820105820104,0.24426807760141092,0.21825396825396826,11340
1892,408,436,380,0.2777552674230146,0.2795110750945435,0.24810913019989195,14808
1893,1036,1037,999,0.3029935275080906,0.30612189859762673,0.2902912621359223,37080
1894,1111,1094,1069,0.3214430585133354,0.3192881046547003,0.31023729844843323,39444
