city_name,state,population,latitude,longitude,data_source
New York,New York,8405837,40.7127837,-74.00594129999999,plotly_top1k
Los Angeles,California,3884307,34.0522342,-118.24368490000002,plotly_top1k
Chicago,Illinois,2718782,41.8781136,-87.62979820000001,plotly_top1k
Houston,Texas,2195914,29.7604267,-95.3698028,plotly_top1k
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215,plotly_top1k
Phoenix,Arizona,1513367,33.4483771,-112.0740373,plotly_top1k
San Antonio,Texas,1409019,29.4241219,-98.4936282,plotly_top1k
San Diego,California,1355896,32.715738,-117.1610838,plotly_top1k
Dallas,Texas,1257676,32.7766642,-96.7969879,plotly_top1k
San Jose,California,998537,37.3382082,-121.88632859999998,plotly_top1k
Austin,Texas,885400,30.267153000000004,-97.7430608,plotly_top1k
Indianapolis,Indiana,843393,39.768403,-86.158068,plotly_top1k
Jacksonville,Florida,842583,30.3321838,-81.655651,plotly_top1k
San Francisco,California,837442,37.7749295,-122.4194155,plotly_top1k
Columbus,Ohio,822553,39.9611755,-82.9987942,plotly_top1k
Charlotte,North Carolina,792862,35.2270869,-80.8431267,plotly_top1k
Fort Worth,Texas,792727,32.7554883,-97.3307658,plotly_top1k
Detroit,Michigan,688701,42.331427000000005,-83.0457538,plotly_top1k
El Paso,Texas,674433,31.7775757,-106.4424559,plotly_top1k
Memphis,Tennessee,653450,35.1495343,-90.0489801,plotly_top1k
Seattle,Washington,652405,47.6062095,-122.33207079999998,plotly_top1k
Denver,Colorado,649495,39.7392358,-104.990251,plotly_top1k
Washington,District of Columbia,646449,38.9071923,-77.03687070000001,plotly_top1k
Boston,Massachusetts,645966,42.3600825,-71.0588801,plotly_top1k
Nashville,Tennessee,634464,36.1626638,-86.78160159999999,plotly_top1k
Baltimore,Maryland,622104,39.2903848,-76.6121893,plotly_top1k
Oklahoma City,Oklahoma,610613,35.4675602,-97.5164276,plotly_top1k
Louisville,Kentucky,609893,38.2526647,-85.7584557,plotly_top1k
Portland,Oregon,609456,45.523062200000005,-122.6764816,plotly_top1k
Las Vegas,Nevada,603488,36.1699412,-115.13982959999998,plotly_top1k
Milwaukee,Wisconsin,599164,43.0389025,-87.9064736,plotly_top1k
Albuquerque,New Mexico,556495,35.0853336,-106.6055534,plotly_top1k
Tucson,Arizona,526116,32.2217429,-110.926479,plotly_top1k
Fresno,California,509924,36.7468422,-119.7725868,plotly_top1k
Sacramento,California,479686,38.5815719,-121.4943996,plotly_top1k
Long Beach,California,469428,33.770050399999995,-118.1937395,plotly_top1k
Kansas City,Missouri,467007,39.0997265,-94.5785667,plotly_top1k
Mesa,Arizona,457587,33.4151843,-111.8314724,plotly_top1k
Virginia Beach,Virginia,448479,36.8529263,-75.977985,plotly_top1k
Atlanta,Georgia,447841,33.7489954,-84.3879824,plotly_top1k
Colorado Springs,Colorado,439886,38.8338816,-104.8213634,plotly_top1k
Omaha,Nebraska,434353,41.25236339999999,-95.9979883,plotly_top1k
Raleigh,North Carolina,431746,35.7795897,-78.6381787,plotly_top1k
Miami,Florida,417650,25.7616798,-80.1917902,plotly_top1k
Oakland,California,406253,37.8043637,-122.27111370000002,plotly_top1k
Minneapolis,Minnesota,400070,44.977753,-93.2650108,plotly_top1k
Tulsa,Oklahoma,398121,36.1539816,-95.992775,plotly_top1k
Cleveland,Ohio,390113,41.49932,-81.6943605,plotly_top1k
Wichita,Kansas,386552,37.688889,-97.336111,plotly_top1k
Arlington,Texas,379577,32.735687,-97.1080656,plotly_top1k
New Orleans,Louisiana,378715,29.9510658,-90.0715323,plotly_top1k
Bakersfield,California,363630,35.3732921,-119.0187125,plotly_top1k
Tampa,Florida,352957,27.950575,-82.4571776,plotly_top1k
Honolulu,Hawaii,347884,21.3069444,-157.8583333,plotly_top1k
Aurora,Colorado,345803,39.729431899999994,-104.8319195,plotly_top1k
Anaheim,California,345012,33.8352932,-117.9145036,plotly_top1k
Santa Ana,California,334227,33.7455731,-117.8678338,plotly_top1k
St. Louis,Missouri,318416,38.6270025,-90.1994042,plotly_top1k
Riverside,California,316619,33.9533487,-117.3961564,plotly_top1k
Corpus Christi,Texas,316381,27.800582799999997,-97.396381,plotly_top1k
Lexington-Fayette,Kentucky,308428,38.040583700000006,-84.50371640000002,plotly_top1k
Pittsburgh,Pennsylvania,305841,40.440624799999995,-79.9958864,plotly_top1k
Anchorage,Alaska,300950,61.2180556,-149.90027780000003,plotly_top1k
Stockton,California,298118,37.9577016,-121.29077959999998,plotly_top1k
Cincinnati,Ohio,297517,39.1031182,-84.5120196,plotly_top1k
St. Paul,Minnesota,294873,44.9537029,-93.0899578,plotly_top1k
Toledo,Ohio,282313,41.6639383,-83.555212,plotly_top1k
Greensboro,North Carolina,279639,36.0726354,-79.79197540000001,plotly_top1k
Newark,New Jersey,278427,40.735657,-74.1723667,plotly_top1k
Plano,Texas,274409,33.0198431,-96.6988856,plotly_top1k
Henderson,Nevada,270811,36.0395247,-114.9817213,plotly_top1k
Lincoln,Nebraska,268738,40.8257625,-96.6851982,plotly_top1k
Buffalo,New York,258959,42.8864468,-78.8783689,plotly_top1k
Jersey City,New Jersey,257342,40.7281575,-74.0776417,plotly_top1k
Chula Vista,California,256780,32.6400541,-117.0841955,plotly_top1k
Fort Wayne,Indiana,256496,41.079273,-85.13935129999999,plotly_top1k
Orlando,Florida,255483,28.5383355,-81.3792365,plotly_top1k
St. Petersburg,Florida,249688,27.773056,-82.64,plotly_top1k
